add,NaN,NaN,NaN
sub,NaN,NaN,NaN
mult,NaN,NaN,NaN
div,NaN,NaN,NaN
add,2,2,4
sub,2,2,0
mult,2,2,4
div,2,2,1
add,NaN,NaN,NaN
sub,NaN,NaN,NaN
mult,NaN,NaN,NaN
div,NaN,NaN,NaN
add,NaN,NaN,NaN
sub,NaN,NaN,NaN
mult,NaN,NaN,NaN
div,NaN,NaN,NaN
add,NaN,NaN,NaN
sub,NaN,NaN,NaN
mult,NaN,NaN,NaN
div,NaN,NaN,NaN
add,2,2,4
sub,2,2,0
mult,2,2,4
div,2,2,1
add,2,2,4
sub,2,2,0
mult,2,2,4
div,2,2,1
add,2,2,4
sub,2,2,0
mult,2,2,4
div,2,2,1
add,2,2,4
sub,2,2,0
mult,2,2,4
div,2,2,1
add,1,2,3
sub,1,2,-1
mult,1,2,2
div,1,2,0.5
add,1,2,3
sub,1,2,-1
mult,1,2,2
div,1,2,0.5
add,1,2,3
sub,1,2,-1
mult,1,2,2
div,1,2,0.5
add,1,2,3
sub,1,2,-1
mult,1,2,2
div,1,2,0.5
